driver,shock_1sigma,plus_impact_$/bbl,minus_impact_$/bbl,sensitivity,abs_sens,ci_low,ci_high
cot_mm_net_pct,2.3375325147378865,6.267005555124271,-5.5009986661409584,5.763298432811098,5.763298432811098,4.312110309375539,7.712033647687703
opec_cumulative,0.666688171696161,2.8023193650856797,-2.408778329446065,2.6288009067549574,2.6288009067549574,0.604362174134835,4.867250191548589
log_inventory,0.030832020014007918,-0.8245766226254005,1.1316518283640988,-0.9864208806940837,0.9864208806940837,-2.818935716029846,0.2626500926593597
log_can_production,0.012363792128139891,-0.744019283071296,1.0485430830567424,-0.8970708545618713,0.8970708545618713,-2.2859179415549704,0.39381941422316963
log_production,0.03412344359692703,-0.7297693405829477,1.0362287103447443,-0.8639625416880463,0.8639625416880463,-2.319621478747265,0.6313740889253834
net_exports,0.45287131151068777,-0.4037867183107977,0.7201838561963285,-0.5819192932263029,0.5819192932263029,-2.921290833878118,2.3252268722257723
refinery_util,3.209490175352643,-0.3537947085736164,0.6510377639537523,-0.48852210609701885,0.48852210609701885,-1.79154353691769,0.8206199754016085
log_dxy,0.013276955452376107,-0.20233092555410792,0.49690903495503846,-0.39415398518787015,0.39415398518787015,-1.7385435127028708,1.136090685622812
log_ovx,0.1793365582079781,-0.05801971596469002,0.35253712474506926,-0.2755051535314763,0.2755051535314763,-1.435089540966553,1.5098459311453596
regime_russia_war,0.059761430466719674,0.10894352968396959,0.18150551375651958,-0.05198543484606688,0.05198543484606688,-1.027380468004803,0.9415974826761991
month_sin,0.36554489269623525,0.10894352968396959,0.18150551375651958,-0.05198543484606688,0.05198543484606688,-1.027380468004803,0.9415974826761991
month_cos,0.3677609451366256,0.10894352968396959,0.18150551375651958,-0.05198543484606688,0.05198543484606688,-1.027380468004803,0.9415974826761991
